source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	artifact_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-29581	arXiv:2606.29581v1	https://arxiv.org/html/2606.29581v1 — §3 Methodology; quantization-temperature factorial design	https://arxiv.org/html/2606.29581v1 — §3.1 Experimental Design; 4 Results	https://arxiv.org/html/2606.29581v1 — §5 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29592	arXiv:2606.29592v1	https://arxiv.org/html/2606.29592v1 — §3 Method; perception-navigation-planning decomposition	https://arxiv.org/html/2606.29592v1 — §4 Experiments	https://arxiv.org/html/2606.29592v1 — §5 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	Weekly Only — Context	passed_prewrite
SF-2026-ARXIV-2606-29601	arXiv:2606.29601v1	https://arxiv.org/html/2606.29601v1 — §Approach; sayso, nono and nogo protocol semantics	https://arxiv.org/html/2606.29601v1 — §6.2 Empirical Results; safety and liveness procedures	https://arxiv.org/html/2606.29601v1 — §7 Discussion: Conclusion and Perspectives	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29602	arXiv:2606.29602v1	https://arxiv.org/html/2606.29602v1 — §III Methodology; multilingual and obfuscated prompt-injection matrix	https://arxiv.org/html/2606.29602v1 — §II-D Empirical Evaluations of LLM Safety; IV Results	https://arxiv.org/html/2606.29602v1 — §V Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29604	arXiv:2606.29604v1	https://arxiv.org/html/2606.29604v1 — §3 Method; Causal Perturbative Elicitation	https://arxiv.org/html/2606.29604v1 — §Experimental setup; latent-behavior evaluation	https://arxiv.org/html/2606.29604v1 — §Conclusion and model-organism scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29605	arXiv:2606.29605v1	https://arxiv.org/html/2606.29605v1 — §2.2 Two distinct redundancy mechanisms; provenance decomposition	https://arxiv.org/html/2606.29605v1 — §2 Results; downstream equal-token adaptation test	https://arxiv.org/html/2606.29605v1 — §3 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29623	arXiv:2606.29623v1	https://arxiv.org/html/2606.29623v1 — §3 Data-Driven Subset Simulation; 4 Theoretical Guarantees; C Martingale Theory for SCARCE	https://arxiv.org/html/2606.29623v1 — §5.1 Experiment Setup; 6.1 Experiment Setup; 6.2 Simulation Results	https://arxiv.org/html/2606.29623v1 — §7 Conclusion, Limitations, and Extensions; E LLM Transfer Challenges	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29629	arXiv:2606.29629v1	https://arxiv.org/pdf/2606.29629v1 — §III Tri-serve software DVFS controller: stall-, arithmetic-intensity-, and thermal-aware policies	https://arxiv.org/pdf/2606.29629v1 — §II-C1 Frequency-locked Roofline Benchmarking; IV Evaluation	https://arxiv.org/pdf/2606.29629v1 — §V Conclusion; evaluated Qwen-Omni/GPU-cluster boundary	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29645	arXiv:2606.29645v1	https://arxiv.org/html/2606.29645v1 — §3 Method; RAG enrichment decomposition	https://arxiv.org/html/2606.29645v1 — §3.2 Experimental Design; results across six benchmarks	https://arxiv.org/html/2606.29645v1 — §6.1 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29646	arXiv:2606.29646v1	https://arxiv.org/html/2606.29646v1 — §2 Methodology; weight/residual fuzzing and proxy selection	https://arxiv.org/html/2606.29646v1 — §3 Results	https://arxiv.org/html/2606.29646v1 — §4 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29648	arXiv:2606.29648v1	https://arxiv.org/html/2606.29648v1 — §Failure-driven retriever evolution and meta-agent rewrite loop	https://arxiv.org/html/2606.29648v1 — §4 Experiments	https://arxiv.org/html/2606.29648v1 — §A Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29649	arXiv:2606.29649v1	https://arxiv.org/html/2606.29649v1 — §3 Methodology; resolution/construction/language attack grid	https://arxiv.org/html/2606.29649v1 — §3.2 VLM Evaluation	https://arxiv.org/html/2606.29649v1 — §5 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29652	arXiv:2606.29652v1	https://arxiv.org/html/2606.29652v1 — §Local-first IR architecture and on-device index/inference design	https://arxiv.org/html/2606.29652v1 — §4.1 Experimental Setup; five benchmarks and 1K-1M documents	https://arxiv.org/html/2606.29652v1 — §4.11 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29654	arXiv:2606.29654v1	https://arxiv.org/html/2606.29654v1 — §3 Method; Offline: calibration; Online: k-NN lookup; Stopping rule	https://arxiv.org/html/2606.29654v1 — §6 Experiments; Benchmarks; Difficulty-normalized deployment budgets; 6.1 Main results	https://arxiv.org/html/2606.29654v1 — §7 Discussion and Limitations; H Detailed Assumption Diagnostics; N Failure-case decomposition	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29657	arXiv:2606.29657v1	https://arxiv.org/html/2606.29657v1 — §Posterior-seeking Predictor, epistemic contextualization and guarded scaffolding	https://arxiv.org/html/2606.29657v1 — §Formal safety argument and falsifiability analysis	https://arxiv.org/html/2606.29657v1 — §5.4.2 Falsifiability, Scope, and Requirements for a Concrete Design	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29661	arXiv:2606.29661v1	https://arxiv.org/html/2606.29661v1 — §4 Methods; quality-diversity ensemble construction	https://arxiv.org/html/2606.29661v1 — §5 Results	https://arxiv.org/html/2606.29661v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29679	arXiv:2606.29679v1	https://arxiv.org/html/2606.29679v1 — §3.6 Applying I-BBS Algorithm 1 to M(t): dimension inference and operative regimes	https://arxiv.org/html/2606.29679v1 — §4 Experiments	https://arxiv.org/html/2606.29679v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	Weekly Only — Context	passed_prewrite
SF-2026-ARXIV-2606-30686	arXiv:2606.30686v1	https://arxiv.org/html/2606.30686v1 — §2 Decomposing VLA Policies; 4 Systemic Consequences	https://arxiv.org/html/2606.30686v1 — §3.2 Three Levels of Non-Identifiability in Current Evaluation	https://arxiv.org/html/2606.30686v1 — §Conclusion and proposed controlled-variation scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-30689	arXiv:2606.30689v1	https://arxiv.org/html/2606.30689v1 — §Citation-enforced SDD design; 4.4 Hallucination Injection Protocol	https://arxiv.org/html/2606.30689v1 — §4 Experimental Design; cross-model results	https://arxiv.org/html/2606.30689v1 — §7 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
