arxiv_identity	first_public_utc	title	categories	screening_route	denominator_action	closure_reason	withdrawal_status
2608.30273v1	2026-08-31T05:38:05Z	Strengthening Recursive Constructions for Zero-Error Shannon Capacity	cs.IT,cs.LG,math.CO	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30274v1	2026-08-31T05:40:50Z	SoniMet - A tool for sonifying and visualizing the performance of single researchers	cs.DL,physics.soc-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30275v1	2026-08-31T05:40:52Z	An Explicit Family of Log-Concave Counterexamples to the Gaussian Completely Monotone Conjecture	cs.IT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30276v1	2026-08-31T05:45:30Z	Efficient biphoton generation by a waveguide-coupled single atom	quant-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30277v1	2026-08-31T05:45:33Z	SimCRAFT: Distilling Remote Sensing Agents via Synthetic Trajectories and Contextual Retrieval-Augmented Fine-Tuning	cs.AI,cs.MA	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30278v1	2026-08-31T05:47:26Z	Some function applications of weak $λ$-spaces	math.GN	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30279v1	2026-08-31T05:48:33Z	Motion-Saliency Complementary Masked Modeling for Point Cloud Video Understanding	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30280v1	2026-08-31T05:49:58Z	The specular ellipse method for scalar ordinary differential equations: exactness and accuracy up to fourth order	math.NA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30281v1	2026-08-31T05:50:10Z	SELECT: SELEctive Context Transfer for Class-Incremental Semantic Segmentation	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30282v1	2026-08-31T05:51:37Z	Best Annealing Path of Quantum Annealing via Efficient Adiabatic Phase Transition	quant-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30283v1	2026-08-31T05:52:29Z	BCPPO: Bachelier-Inspired Constrained Proximal Policy Optimization for Tail-Risk-Aware Safe Reinforcement Learning	cs.LG,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	local model/task improvement without a changed long-term platform, training, inference, or evidence contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30284v1	2026-08-31T05:52:36Z	A Note on the Converse Sendov Problem	math.CV	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30285v1	2026-08-31T05:52:48Z	Unfolding Overlaps of the Exceptional Regular Polytopes	cs.CG,math.CO	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30286v1	2026-08-31T05:54:53Z	Coexisting chaos and order in micro-textured elastic flows	physics.flu-dyn,cond-mat.soft	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30287v1	2026-08-31T05:55:00Z	From multi-layered problems to multiple two-layered problems: a novel frequency-time hybrid multiple-scattering integral equation solver	math.NA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30288v1	2026-08-31T05:55:17Z	Extracting Knowledge from Tools in LLM Agents	cs.CR	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30289v1	2026-08-31T05:55:34Z	CometVLA: Co-Training on an Embodied Data Pyramid towards Physical Understanding	cs.RO	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30290v1	2026-08-31T05:56:18Z	Thresholds of singularities in characteristic zero	math.AC,math.AG	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30291v1	2026-08-31T05:56:40Z	PEARL: Front-Loading Relational Chains for Multi-Hop Table Retrieval	cs.IR	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30292v1	2026-08-31T05:56:45Z	Mechanism Design for Facility Location Games Under a Prelocated Facility	cs.GT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30293v1	2026-08-31T05:59:37Z	A note on the center of the queer super Yangian ${\rm Y}(\mathfrak{q}_1)$	math.QA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30294v1	2026-08-31T06:02:28Z	Dynamic Hub-and-Spoke Memory for Streaming Video Understanding	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30295v1	2026-08-31T06:02:37Z	CateKV: On Sequential Consistency for Long-Context LLM Inference Acceleration	cs.LG,cs.AI	core-daily-full-semantic-screen	retained	retained: durable AI-system mechanism or ownership/evaluation-contract delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30296v1	2026-08-31T06:07:17Z	Covariant formula for the driving force for interface migration	cond-mat.mtrl-sci	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30297v1	2026-08-31T06:08:30Z	AIA$^{2}$: Attribute-Agnostic Imbalance Augmentation for Subgroup Robustness	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30298v1	2026-08-31T06:09:54Z	Sensitivity Comparison of Microwave-Frequency and Optical Fibre Interferometry Based on State-of-the-Art Components	physics.optics,cs.NI	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30299v1	2026-08-31T06:13:08Z	Beating Quadratic Time--Message Trade-off in Distributed Minimum Spanning Tree Construction	cs.DS,cs.DC	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30300v1	2026-08-31T06:13:51Z	Update from Hell: Can Coding Agents Survive Hidden Breakage in Dependency Upgrades?	cs.SE	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30301v1	2026-08-31T06:17:46Z	Data-Centric Neuromotor Interfaces for Portable Human-Machine Interaction	cs.RO	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30302v1	2026-08-31T06:17:51Z	Failure of the Proposed Local Decay Formula for Local Arnold Multiplicities under Twisted Kähler--Ricci Flow	math.DG,math.AP,math.CV	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30303v1	2026-08-31T06:19:04Z	Lazy Grounding: Attacking Search Agents with Factual Evidence	cs.CL	core-daily-full-semantic-screen	retained	retained: durable AI-system mechanism or ownership/evaluation-contract delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30304v1	2026-08-31T06:19:40Z	The Erdélyi--Magnus--Nevai and Krasikov Conjectures for Jacobi Polynomials	math.CA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30305v1	2026-08-31T06:19:58Z	Learning to Restore More: Continual Capability Expansion for Pretrained Image Restoration Models	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30306v1	2026-08-31T06:20:59Z	Singlet-doublet transitions and Josephson currents in a superconducting ring with a quantum dot	cond-mat.mes-hall	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30307v1	2026-08-31T06:22:11Z	ScenePilot: Grow-and-Repair Policy for Text-Driven 3D Indoor Scene Generation	cs.CV,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30308v1	2026-08-31T06:23:15Z	Indirect stabilization of N -level quantum systems	quant-ph,math-ph,math.OC	triggered-backstop-check	pre-denominator closure	triggered-backstop category without a qualifying Daily trigger or durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30309v1	2026-08-31T06:26:08Z	SN 2019cqc: A Hydrogen-rich Superluminous Supernova Showing Electron-Scattering Signatures	astro-ph.HE,astro-ph.SR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30310v1	2026-08-31T06:27:07Z	Tail-Replay: Escaping the Curse of Linear Attention in Prefix Caching for Hybrid LLMs	cs.LG,cs.AI	core-daily-full-semantic-screen	retained	retained: durable AI-system mechanism or ownership/evaluation-contract delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30311v1	2026-08-31T06:27:21Z	One AI Signal, Many Human Judgments: A Bayesian Cascade Analysis of AI-based Credibility Indicators in Online Information Spread	cs.HC,cs.AI,cs.SI	core-daily-full-semantic-screen	pre-denominator closure	local model/task improvement without a changed long-term platform, training, inference, or evidence contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30312v1	2026-08-31T06:28:13Z	Testing SALT Approximations with Numerical Radiative Transfer Code. II. Thermal and Microturbulent Line Broadening	astro-ph.GA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30313v1	2026-08-31T06:30:04Z	Quantum-interference metrology of dissipative Kerr solitons	quant-ph,physics.optics	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30314v1	2026-08-31T06:31:45Z	Weakly Supervised Tabla Stroke Transcription via an Adaptive Dynamic Rhythm Language Model (ADRM)	eess.AS	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30315v1	2026-08-31T06:33:09Z	Context Staircase: Signature-Aligned Dynamics of Token Embeddings under Small Initialization	cs.LG,cs.CL	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30316v1	2026-08-31T06:33:20Z	Knowing Beyond the Known: Reinforced Knowledge Specification for Multi-Label Class-Incremental Learning	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30317v1	2026-08-31T06:33:21Z	Online Estimation of Dynamic Origin-Destination Matrices Using Reinforcement Learning with Link-Flow Propagation Guidance	cs.LG,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30318v1	2026-08-31T06:33:30Z	Converse Barrier Certificates for Set-Based Stochastic Reach-Avoid Verification	eess.SY	weekly-route-trigger-check	pre-denominator closure	weekly-filtered category without an in-window Daily trigger or cross-listed durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30319v1	2026-08-31T06:34:58Z	Beyond Token-Level Guidance: Inference-Time Alignment of Specialized LLMs via Cross-Family Representation Steering	cs.CL,cs.AI,cs.LG	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30320v1	2026-08-31T06:35:07Z	On the Design of Qwen3.8-Next Architecture: Evaluation, Efficiency, and Training Stability	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30321v1	2026-08-31T06:36:20Z	Optimal Block Time for AMM Liquidity Providers under Jump-Diffusion Prices	q-fin.MF,math.PR,q-fin.TR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30322v1	2026-08-31T06:39:27Z	Ignorance or Incompetence? Constructing Knowledge-Gated, Verifiable Tasks for LLM Agents	cs.AI,cs.CL	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30323v1	2026-08-31T06:40:03Z	Generative multi-domain transfer learning for fault detection in data-scarce wind turbines	cs.LG	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30324v1	2026-08-31T06:41:44Z	Scalar Spin Chirality from Dissipative Pumping and Lamb Shift Precession	cond-mat.mes-hall,quant-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30325v1	2026-08-31T06:42:52Z	Sequential Trajectories and Simultaneous Blending: Multi-Emotion Modeling for Instruction-Following TTS	cs.CL,cs.SD	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30326v1	2026-08-31T06:43:17Z	Parallel Time-Band Mixing with Learned Observation-Adding for Robust ASR Front-Ends	cs.SD,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30327v1	2026-08-31T06:45:16Z	Do Small Models Use the Law You Give Them? Measuring Context Use on a Bilingual Bangladesh Legal Benchmark	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30328v1	2026-08-31T06:46:24Z	Learning PDE Time-Stepping with Neural Cellular Automata	cs.LG,stat.ML	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30329v1	2026-08-31T06:46:41Z	Ouroboros: Self-Referential Backdoor Attacks on Speech Enhancement via Clean Audio Triggers	cs.SD,cs.CR	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30330v1	2026-08-31T06:47:48Z	Vertex-transitive strongly regular graphs in the switching class of doubly transitive two-graphs	math.CO,math.GR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30331v1	2026-08-31T06:48:22Z	Bergsma--Dassios Sign Covariance Characterises Independence for Arbitrary Real-Valued Bivariate Laws	math.ST	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30332v1	2026-08-31T06:48:24Z	A Roadmap to Available ICS Datasets and Testbeds for Cybersecurity Research	cs.CR,eess.SY	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30333v1	2026-08-31T06:48:32Z	Beyond Ranking Accuracy: Evaluating LLM-Cited Feature Rationales for Next Basket Repurchase Recommendation	cs.IR,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30334v1	2026-08-31T06:48:48Z	Unconditional Finiteness of the Number of Critical Points of Gaussian Mixture Densities	math.ST,math.PR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30335v1	2026-08-31T06:49:10Z	Holographic Representations of Topological Quantum Criticality: Emergent Symmetry Approach around the Bott Clock	cond-mat.str-el,cond-mat.mes-hall	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30336v1	2026-08-31T06:49:31Z	An Improvement to the Upper Bound for Marton's Covering Conjecture	math.CO	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30337v1	2026-08-31T06:50:09Z	Coarse composition suffices: tabular in-context learning for multi-activity antimicrobial peptide profiling	cs.LG,q-bio.BM	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30338v1	2026-08-31T06:52:38Z	Cartesian tensor equivariant machine-learning force field for spin-dependent atomistic simulations	physics.comp-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30339v1	2026-08-31T06:56:11Z	Pointwise convergence of noncommutative ergodic averages along the primes	math.OA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30340v1	2026-08-31T06:56:14Z	Exact quantum splitting and the structure of finite algebras	quant-ph,cs.CC	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30341v1	2026-08-31T06:56:15Z	DOBI: Dynamic Opportunistic Body Input via Spare Joint Recruitment for Hands-Free XR	cs.HC	weekly-route-trigger-check	pre-denominator closure	weekly-filtered category without an in-window Daily trigger or cross-listed durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30342v1	2026-08-31T06:56:32Z	CapFrame: Text-Instructed Viewpoint Grounding in 3D Gaussian Scenes via Geometric Pseudo Labels	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30343v1	2026-08-31T07:00:02Z	LangBP: Language-Guided Reasoning and Acting for Joint Bidding and Pricing	cs.GT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30344v1	2026-08-31T07:00:19Z	Proximity3D: Shape from Capacitive Proximity on Sensing Manifold	cs.CV,cs.CG,cs.GR,cs.RO	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30345v1	2026-08-31T07:01:36Z	Answer Probing-Guided Search for Diverse Solution Exploration of LLMs	cs.AI	core-daily-full-semantic-screen	pre-denominator closure	application-specific study; title/abstract does not change a reusable AI-system state, control, or evaluation contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30346v1	2026-08-31T07:03:44Z	Classification complexity of homeomorphism group actions	math.LO,math.DS	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30347v1	2026-08-31T07:05:24Z	Perfect state transfer on Cayley graphs over dihedral groups: A complete and practical characterization	math.CO	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30348v1	2026-08-31T07:06:13Z	Perceptually Better, Semantically Worse: Measuring Speech Enhancement Impact on LLM-Based Voice Systems	cs.SD,eess.AS	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30349v1	2026-08-31T07:07:37Z	Generalised Symmetries, Anomalies, and Maximal Branches of 3d Chern-Simons Matter Theories	hep-th	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30350v1	2026-08-31T07:07:41Z	GIT for root stacks and 3d mirror symmetry	math.RT,hep-th,math.AG,math.SG	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30351v1	2026-08-31T07:08:21Z	An Optimal Separation Between Certificate Complexity and Approximate Degree	cs.CC	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30352v1	2026-08-31T07:09:05Z	Co-Annotator: Expert-Distilled ViT and VLM for Visual and Documentation Guidance in Age-Related Macular Degeneration	cs.AI,cs.HC	core-daily-full-semantic-screen	pre-denominator closure	application-specific study; title/abstract does not change a reusable AI-system state, control, or evaluation contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30353v1	2026-08-31T07:09:24Z	An Improved Bound for Smith's Longest Cycles Conjecture via a Forbidden Subdivision	math.CO,cs.DM	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30354v1	2026-08-31T07:12:30Z	Maximal anti-Ramsey problems for posets	math.CO	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30355v1	2026-08-31T07:14:14Z	Seeing the Unseen: Camouflaged Object Detection Beyond the Visible Spectrum	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30356v1	2026-08-31T07:15:20Z	Quantum information in neutron-proton scattering from the $M$ matrix	nucl-th,quant-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30357v1	2026-08-31T07:16:33Z	Mean convergence for Banach space-valued random elements indexed in measure spaces	math.PR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30358v1	2026-08-31T07:17:12Z	Hunting the nature of the Seyfert 1 galaxy GRS 1734-292: can it be a gamma-ray emitter?	astro-ph.HE,astro-ph.GA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30359v1	2026-08-31T07:17:42Z	Real-space overlap is not enough: ambiguity in nanobeam iterative ptychography	cond-mat.mtrl-sci	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30360v1	2026-08-31T07:18:13Z	Arctic Dispersion Interruption Phenomenon and Sound Source Depth Estimation	physics.app-ph,cs.SD	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
