source_family_id	primary_evidence_version	access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-29013	arXiv:2606.29013v1	accessible	https://arxiv.org/html/2606.29013v1 — §3 Framework; 3.2 Training protocol	https://arxiv.org/html/2606.29013v1 — §3.1 Model setup; 4 Experiments	https://arxiv.org/html/2606.29013v1 — §5 Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-29030	arXiv:2606.29030v1	accessible	https://arxiv.org/html/2606.29030v1 — §III Architecture of the Proposed Agent	https://arxiv.org/html/2606.29030v1 — §V Numerical Results; V-A Experimental Dataset and Model Setup; V-B Comparison across Benchmarks and Model Backends	https://arxiv.org/html/2606.29030v1 — §VI Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29033	arXiv:2606.29033v1	accessible	https://arxiv.org/html/2606.29033v1 — §Approach 1: Human Verification of AI Proposals.; Approach 2: Manual Test Sets.; Approach 3: Humans Specify Criteria, AI Applies Them at Scale.	https://arxiv.org/html/2606.29033v1 — §Human-in-the-Loop Nugget Annotation for Accountable LLM-as-a-Judge Evaluations; 4. Avoiding Evaluation Tropes	https://arxiv.org/html/2606.29033v1 — §6. Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29038	arXiv:2606.29038v1	accessible	https://arxiv.org/html/2606.29038v1 — §2 Pipeline Architecture and Metric Aggregation Divergence; 2.4 Positioning: Pipeline Architecture as Unregistered Degrees of Freedom	https://arxiv.org/html/2606.29038v1 — §3.2 Controlled Aggregation Experiment (EA-2); Appendix A Experiment Parameters	https://arxiv.org/html/2606.29038v1 — §Metric Aggregation Divergence: A Hidden Validity Threat in Agent-Based Policy Optimization and a Contractual Remedy; 6 Discussion; 7 Limitations and Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	selected	Integrate	passed
SF-2026-ARXIV-2606-29054	arXiv:2606.29054v1	accessible	https://arxiv.org/html/2606.29054v1 — §2 Method; Ministral violations expose framework limits.; Practical decision framework.	https://arxiv.org/html/2606.29054v1 — §Problem setup.; 3 Experiments; 3.1 Setup	https://arxiv.org/html/2606.29054v1 — §4 Discussion; 6 Conclusion; Threats to validity and limitations.；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29059	arXiv:2606.29059v1	accessible	https://arxiv.org/html/2606.29059v1 — §3 The Proposed Method: FlowWM; 3.3 Training Objectives	https://arxiv.org/html/2606.29059v1 — §4 Latent World Model Benchmarks; 4.1 Synthetic Benchmark: Bouncing Shapes; 4.2 Real-world Benchmark: FuturePerception	https://arxiv.org/html/2606.29059v1 — §6 Conclusion; Practical limitations.; Appendix J Discussion and Limitations；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-29066	arXiv:2606.29066v1	accessible	https://arxiv.org/html/2606.29066v1 — §Training objective; 4 Training; 4.2 Step-Size Policy Training	https://arxiv.org/html/2606.29066v1 — §5 Experiments; 5.3 Code Generation Evaluation; Setup	https://arxiv.org/html/2606.29066v1 — §7 Conclusion; Limitations.；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-29067	arXiv:2606.29067v1	accessible	https://arxiv.org/html/2606.29067v1 — §3 Method; H.1 Study Design	https://arxiv.org/html/2606.29067v1 — §Graph-based trace analysis.; Layer 4: Cross-segment analysis.; 4 Experimental Protocol	https://arxiv.org/html/2606.29067v1 — §Layer 1: Structural segmentation and boundary classification.; Layer 2: Soft boundary detection.; 5 Results and Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29073	arXiv:2606.29073v1	accessible	https://arxiv.org/html/2606.29073v1 — §5 HCP Design; 6 Benchmark Method; 7.7 Ecosystem Measurement	https://arxiv.org/html/2606.29073v1 — §From Tool Connection to Execution Control: Benchmarking Security Invariants in MCP-Style Agent Runtimes; 6 Benchmark Method; 7 Evaluation	https://arxiv.org/html/2606.29073v1 — §3 Threat Model; 6.3 Reproducibility Boundary; 8 Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	subsumed	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29082	arXiv:2606.29082v1	accessible	https://arxiv.org/html/2606.29082v1 — §EFT serves as mid-training for test-time RL.; Appendix C Additional Details of Dataset Construction Method; C.1 Systematic Error Breakdown Analysis	https://arxiv.org/html/2606.29082v1 — §Optimization setup.; 3.2 Analysis of ℱ \mathcal{F} inch Collection; 4 Experiments	https://arxiv.org/html/2606.29082v1 — §7 Conclusion; Limitations; Appendix B Further Details and Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29088	arXiv:2606.29088v1	accessible	https://arxiv.org/html/2606.29088v1 — §Report GitHub Issue; Diff-Based Code Corruption using LLMs for Large-Scale Bugfix Benchmarking	https://arxiv.org/html/2606.29088v1 — §Diff-Based Code Corruption using LLMs for Large-Scale Bugfix Benchmarking; 3 The Proposed Benchmark; 4 Evaluation	https://arxiv.org/html/2606.29088v1 — §5 Discussion; 6 Threats to Validity; 7 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29089	arXiv:2606.29089v1	accessible	https://arxiv.org/html/2606.29089v1 — §3 Method	https://arxiv.org/html/2606.29089v1 — §4 Experiments; 4.1 Results	https://arxiv.org/html/2606.29089v1 — §5 Discussion; 6 Limitations；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29090	arXiv:2606.29090v1	accessible	https://arxiv.org/html/2606.29090v1 — §III Methodology and Framework; III-A Overall Framework; III-B System Architecture	https://arxiv.org/html/2606.29090v1 — §III-F Evaluation Metrics; IV-E API Cost and Token Analysis; V Results and Analysis	https://arxiv.org/html/2606.29090v1 — §V-F Qualitative Examples and Discussion; VI Conclusion and Future Work; VI-A Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29091	arXiv:2606.29091v1	accessible	https://arxiv.org/html/2606.29091v1 — §Chance across architectures.	https://arxiv.org/html/2606.29091v1 — §4 Results	https://arxiv.org/html/2606.29091v1 — §6 Discussion & Conclusion; Limitations.；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29094	arXiv:2606.29094v1	accessible	https://arxiv.org/html/2606.29094v1 — §3.1. Design Overview; Appendix C Algorithm for Supporting Approximate KV Caching	https://arxiv.org/html/2606.29094v1 — §5. Evaluation; 5.1. Experimental Setup; 5.3. Accuracy Benchmarks	https://arxiv.org/html/2606.29094v1 — §7. Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29097	arXiv:2606.29097v1	accessible	https://arxiv.org/html/2606.29097v1 — §3 Method	https://arxiv.org/html/2606.29097v1 — §4 Experiments; 4.1 Experimental Setup; Experiment setup.	https://arxiv.org/html/2606.29097v1 — §5 Limitations and Future Work; 6 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29108	arXiv:2606.29108v1	accessible	arXiv:2606.29108v1 version-stamped mirror — §Our approach; III Methodology	arXiv:2606.29108v1 version-stamped mirror — §Results; V Evaluation; V-A Experiment Setup	arXiv:2606.29108v1 version-stamped mirror — §VI Discussion; VIII Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29112	arXiv:2606.29112v1	accessible	https://arxiv.org/html/2606.29112v1 — §3 Method	https://arxiv.org/html/2606.29112v1 — §4 Experimental Results; 4.1 Experiment Setup	https://arxiv.org/html/2606.29112v1 — §5 Summary; Instructions for reporting errors；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-29116	arXiv:2606.29116v1	accessible	https://arxiv.org/html/2606.29116v1 — §Characterizing Large Language Model Agentic Workflows: A Study on N8n Ecosystem	https://arxiv.org/html/2606.29116v1 — §6.3 Benchmarks for Realistic Agent Behavior	https://arxiv.org/html/2606.29116v1 — §3.4 RQ3: Failure Handling; 5 Discussion; 5.1 Threats to Construct Validity；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29119	arXiv:2606.29119v1	accessible	https://arxiv.org/html/2606.29119v1 — §Report GitHub Issue; Knowing in Advance When an Evolutionary Outer Loop Will Not Help: A Pre-Registered Cheap-Baseline Screening Rule	https://arxiv.org/html/2606.29119v1 — §5.1 Heritability does not rescue (the κ \kappa -sparsity result); 7 The Positive Condition — a Hypothesis, Not a Result	https://arxiv.org/html/2606.29119v1 — §8 Limitations; 9 Discussion and Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29124	arXiv:2606.29124v1	accessible	https://arxiv.org/html/2606.29124v1 — §3 Methodology	https://arxiv.org/html/2606.29124v1 — §Output of differential analysis:; 3.6 Stage 5: Result Analysis; LLM-based analysis of differential results:	https://arxiv.org/html/2606.29124v1 — §2.3 SMTP Nesting Failures (Mailpit); Boundary value analysis (BVA):; 6 Limitations and Future Work；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	subsumed	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-29126	arXiv:2606.29126v1	accessible	https://arxiv.org/html/2606.29126v1 — §4 Methodology; 4.1 MARL Framework; Training Objective	https://arxiv.org/html/2606.29126v1 — §5 Experiments; 5.1 Setup; 5.2 Results	https://arxiv.org/html/2606.29126v1 — §6 Conclusion and Limitations；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-29129	arXiv:2606.29129v1	accessible	https://arxiv.org/html/2606.29129v1 — §4 Proposed Method	https://arxiv.org/html/2606.29129v1 — §3.1 Theoretical Analysis; 5 Evaluation	https://arxiv.org/html/2606.29129v1 — §3 Limitation of Fast Mode Scaling; 6 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
